field,mngt_soil,culture,run,nest_n,nest_pa,area_ha,alt_plot,slope_plot,lsc_BPA_500m,lsc_dist_to_BPA,lsc_Forest_500m,lsc_Grassland_500m,lsc_Crop_500m,lsc_Urban_500m,soil_bulk_dens,soil_rel_dens,soil_som,soil_ph,soil_sand,soil_silt,soil_clay,sqa_cov_crop,sqa_cov_moss,sqa_cov_litter,sqa_cov_weed,sqa_cov_bare,sqa_veg_height
AnCa01,CT,Winter wheat,1,11,1,4.693979225118831,356.87608589010034,0.8712247676473666,10.5,138,46.57,12.91,20.44,4.19,1.447697559866103,0.7306579219387113,1.2,5.31,34.59474423075556,42.27223342625903,23.133022342985406,20,0,0,3.3,76.7,19.9
BlDe01,CT,Winter wheat,1,1,1,3.8804566579528155,433.1361763246598,0.901845452420774,11.74,61,4.07,13.89,62.55,17.97,1.3532625416081414,0.7077970954742482,2.448,6.004,53.18689269893213,28.703173777749914,18.109933523317963,39.9,0,0,15.4,44.7,20.1
BlDe04,CT,Winter barley,1,8,1,4.99610974925682,427.95133169730286,0.7590382274554925,7.03,15,14.99,15.3,63.42,3.62,1.3709517255878987,0.7048382445615206,1.896,7.14,50.29698149172317,28.905469140989986,20.79754936728684,34.6,0,0,0.7,64.7,19.7
ChBo01,NT,Winter wheat,1,3,1,2.2089526859521866,371.3087455262529,1.6652465557402119,1.76,64,7.82,3.21,38.96,14.98,1.1269167257325885,0.6145520373794341,4.6080000000000005,6.638,53.84895392222963,28.880216299076626,17.27082977869374,37.5,0.5,3.7,8.6,49.7,20.966666666666665
ChBo04,NT,Winter wheat,1,3,1,5.480731829994358,355.02040963262397,0.8836817446841432,7.59,95,44.1,15.23,26.4,2.92,1.411016065681129,0.7305985950579744,3.21,7.680000000000001,37.95126330449554,35.4568871166327,26.591849578871763,33.1,0,10.7,0,56.2,22.233333333333334
ChFa03,NT,Winter wheat,1,11,1,2.4231322241842745,405.33013606770834,4.147991480827332,3.12,163,4.39,7.31,54.62,31.56,1.50192433702248,0.7716627860177753,1.882,7.85,45.61432524543211,33.468893674262745,20.916781080305142,26,0,9.9,1.7,62.4,34
DaDu02,NT,Winter barley,1,0,0,3.181814337301254,436.91728877500105,0.7830151973567048,9.17,16,16.48,17.18,50.59,12.21,1.2715871756116335,0.6521514188000215,3.196,6.698,32.937713572576506,36.92886378700768,30.133422640415816,33.1,0.3,43.9,0,22.7,15.2
DaDu05,NT,Winter wheat,1,0,0,1.5619077219473199,418.8477946836252,1.5432944396765398,14.31,95,7.3,16.96,60.2,13.4,1.2738293591813061,0.6681914392872356,2.622,6.12,57.999704224336064,23.900084774422613,18.100211001241327,22.4,0.7,17.7,4.3,54.9,11.866666666666667
DaDu06,NT,Winter wheat,1,1,1,5.4485407486503945,420.74693257099875,1.1058779441222952,8.22,94,12.5,11.26,66.26,8.09,1.465227941129673,0.7637565902999272,2.562,6.828,58.84334255857389,21.102668345986693,20.05398909543942,29.1,0.2,4.1,0.9,65.7,21.2
DeJo03,CT,Winter wheat,1,0,0,1.8568521621044725,433.0913579915365,1.5778379093706607,7.42,160,2.77,7.61,65.27,22.56,1.4057629993969867,0.7484844847972217,5.09,6.408,23.534996585922862,44.35916261882448,32.10584079525266,55.5,0,0,2,42.5,35.3
DeJo07,CT,Winter wheat,1,6,1,1.8814463883474468,433.3603583802568,1.7576937146801899,6.37,73,3.12,24.46,43.92,27.16,1.3792838109758696,0.7177848046281626,1.708,7.89,50.97464394025128,33.93956487059873,15.08579118914999,42.8,0,0,7,50.2,32.3
JaBu01,NT,Winter wheat,1,1,1,2.7009331791102884,633.4115928609103,4.034021755590796,7.95,65,14.39,27.62,53.99,3.96,1.2599266203209183,0.6699340583249477,3.466,6.122,41.737508679463495,39.50346962304107,18.759021697495434,28.9,2.3,22.4,5.3,41.1,21.2
JoDe01,CT,Winter wheat,1,0,0,5.3042276032492515,472.9805633462664,1.263151348360144,9.23,217,1.81,23.37,57.75,16.82,1.4326927787286723,0.7351193912074273,1.764,5.898,34.831222407781674,44.48537825052473,20.683399341693594,59.1,0,0,10.2,30.7,36
JoMe02,CT,Winter wheat,1,2,1,3.692224429886602,459.62390924536663,2.6028573800526233,11.03,118,4.38,11.3,72.2,10.2,1.3641153365724075,0.7006663777728864,2.402,6.382,30.781158959125783,44.79833293589716,24.42050810497706,48.1,0,0,1.6,50.3,29.5
JoMe05,CT,Winter wheat,1,0,0,3.471072343605384,494.6515695800781,2.1384410845438637,7.47,16,44.17,12.39,40.91,2.3,1.319587038668989,0.6733772782762963,2.676,7.368,33.51198147274041,37.749304194174464,28.738714333085127,44.2,0,0.1,1.9,53.8,20.9
LuHe01,NT,Winter wheat,1,0,0,3.2900153847575186,438.28111401367187,1.6645609258810679,3.24,22,0.05,9.43,70.69,18.93,1.3861005080913316,0.7263822051486106,3.41,7.718,34.63717941897211,41.67939477475534,23.683425806272545,35.3,0,1.8,7.3,55.6,33.1
NiSe02,CT,Winter wheat,1,0,0,1.0372946759473531,438.0280342610677,2.769709366639455,1.32,299,2.44,5.83,77.83,13.8,1.3955551556653392,0.708181939337205,2.586,6.256,32.41248603429809,37.57093261620663,30.016581349495272,55.7,0.1,0,4.4,39.8,31.466666666666665
NiSe03,CT,Winter wheat,1,0,0,5.39919107479006,423.6668186135488,2.176604611987937,1.84,202,19.64,3.13,58.96,18.08,1.490025762750875,0.7588419096175912,1.418,6.07,29.094611882618466,49.721046848594376,21.184341268787158,20.4,0,0,1,78.6,11.3
PaWe03,NT,Winter wheat,1,0,0,2.3504337615072726,429.79043166264296,1.6284972804571336,4.12,142,4.17,6.1,83.65,3.03,1.4575251113331462,0.7509246416298728,2.346,5.604,41.745672271030585,35.26785798901209,22.98646973995732,48,0.2,9.9,4.5,37.4,33.4
PaWe05,NT,Winter wheat,1,4,1,6.050170066806674,470.49031058690883,2.355296995250448,2.99,107,2.88,7.28,71.92,17.68,1.5337066668089658,0.7911652013790782,1.916,7.9239999999999995,38.54844996120952,41.7022471427493,19.74930289604118,13.1,0,11.2,0.5,75.2,14.3
RaMe03,NT,Winter wheat,1,0,0,2.677276478101313,372.1562472559126,1.5514907562440359,5.5,100,7.63,9.05,71.41,8.9,1.3480943575536715,0.6878943461217926,3.004,7.168,24.551860999508996,44.71357629743917,30.734562703051836,34.8,0.3,2.1,10.9,51.9,30.8
SeCr01,CT,Winter wheat,1,8,1,2.254050820849836,682.0498168945312,1.354582012126843,7.35,145,11.59,21.84,64.78,1.8,1.1581421295283587,0.6661460626847447,6.0120000000000005,6.436,47.719138016619304,36.13357372451128,16.147288258869413,18,0,0,0.8,81.2,15.1
StTe05,NT,Winter wheat,1,0,0,3.395639403450489,688.4352984569786,2.8244877568473714,1.65,143,3.7,36.04,55.39,4.35,1.134392922580047,0.6094962521201155,4.788,6.582,31.316578592058256,44.95181605941781,23.731605348523935,15.9,0,24,3,57.1,20.8
SyPi01,CT,Winter wheat,1,0,0,2.7437423352062704,676.3549583782778,0.884774399586721,2.36,325,0.25,17.86,78.21,3.59,1.0989021437859268,0.582802892733366,3.804,5.936,37.61921368072895,40.63916729301442,21.74161902625663,20.5,0,0.5,1.1,77.9,17.5
YvCh03,NT,Winter wheat,1,0,0,5.805913701931387,435.8599513897433,1.3113437284302367,10.82,94,6.05,20.26,69.08,3.34,1.3466708927155866,0.698888406739492,2.9699999999999998,7.244,35.194731882402465,40.58734314114588,24.21792497645166,49.1,0,28.5,0.4,22,35.3
AnCa01,CT,Winter wheat,2,5,1,4.693979225118831,356.87608589010034,0.8712247676473666,10.5,138,46.57,12.91,20.44,4.19,1.447697559866103,0.7306579219387113,1.2,5.31,34.59474423075556,42.27223342625903,23.133022342985406,33.6,0,0,2.4,64,51.2
BlDe01,CT,Winter wheat,2,10,1,3.8804566579528155,433.1361763246598,0.901845452420774,11.74,61,4.07,13.89,62.55,17.97,1.3532625416081414,0.7077970954742482,2.448,6.004,53.18689269893213,28.703173777749914,18.109933523317963,39.5,0,0,7.4,53.1,51.6
BlDe04,CT,Winter barley,2,5,1,4.99610974925682,427.95133169730286,0.7590382274554925,7.03,15,14.99,15.3,63.42,3.62,1.3709517255878987,0.7048382445615206,1.896,7.14,50.29698149172317,28.905469140989986,20.79754936728684,49.2,0,0,0,50.8,65.6
ChBo01,NT,Winter wheat,2,0,0,2.2089526859521866,371.3087455262529,1.6652465557402119,1.76,64,7.82,3.21,38.96,14.98,1.1269167257325885,0.6145520373794341,4.6080000000000005,6.638,53.84895392222963,28.880216299076626,17.27082977869374,38.5,0,3.2,3.4,54.9,41.1
ChBo04,NT,Winter wheat,2,3,1,5.480731829994358,355.02040963262397,0.8836817446841432,7.59,95,44.1,15.23,26.4,2.92,1.411016065681129,0.7305985950579744,3.21,7.680000000000001,37.95126330449554,35.4568871166327,26.591849578871763,44.7,0,5,1.1,49.2,43.1
ChFa03,NT,Winter wheat,2,0,0,2.4231322241842745,405.33013606770834,4.147991480827332,3.12,163,4.39,7.31,54.62,31.56,1.50192433702248,0.7716627860177753,1.882,7.85,45.61432524543211,33.468893674262745,20.916781080305142,58.4,0,2.8,1.1,37.7,78.8
DaDu02,NT,Winter barley,2,0,0,3.181814337301254,436.91728877500105,0.7830151973567048,9.17,16,16.48,17.18,50.59,12.21,1.2715871756116335,0.6521514188000215,3.196,6.698,32.937713572576506,36.92886378700768,30.133422640415816,59.5,0,21.7,0.5,18.3,51.3
DaDu05,NT,Winter wheat,2,0,0,1.5619077219473199,418.8477946836252,1.5432944396765398,14.31,95,7.3,16.96,60.2,13.4,1.2738293591813061,0.6681914392872356,2.622,6.12,57.999704224336064,23.900084774422613,18.100211001241327,36.1,0,14,1.8,48.1,46.8
DaDu06,NT,Winter wheat,2,2,1,5.4485407486503945,420.74693257099875,1.1058779441222952,8.22,94,12.5,11.26,66.26,8.09,1.465227941129673,0.7637565902999272,2.562,6.828,58.84334255857389,21.102668345986693,20.05398909543942,47.4,0,2.9,1.5,48.2,51
DeJo03,CT,Winter wheat,2,3,1,1.8568521621044725,433.0913579915365,1.5778379093706607,7.42,160,2.77,7.61,65.27,22.56,1.4057629993969867,0.7484844847972217,5.09,6.408,23.534996585922862,44.35916261882448,32.10584079525266,76.2,0,0.4,0.7,22.7,86.4
DeJo07,CT,Winter wheat,2,0,0,1.8814463883474468,433.3603583802568,1.7576937146801899,6.37,73,3.12,24.46,43.92,27.16,1.3792838109758696,0.7177848046281626,1.708,7.89,50.97464394025128,33.93956487059873,15.08579118914999,65.5,0,0,4.8,29.7,78.9
JaBu01,NT,Winter wheat,2,0,0,2.7009331791102884,633.4115928609103,4.034021755590796,7.95,65,14.39,27.62,53.99,3.96,1.2599266203209183,0.6699340583249477,3.466,6.122,41.737508679463495,39.50346962304107,18.759021697495434,56.5,0.7,11.9,0.9,30,111.5
JoDe01,CT,Winter wheat,2,0,0,5.3042276032492515,472.9805633462664,1.263151348360144,9.23,217,1.81,23.37,57.75,16.82,1.4326927787286723,0.7351193912074273,1.764,5.898,34.831222407781674,44.48537825052473,20.683399341693594,78,0,0,0.3,21.7,98.7
JoMe02,CT,Winter wheat,2,0,0,3.692224429886602,459.62390924536663,2.6028573800526233,11.03,118,4.38,11.3,72.2,10.2,1.3641153365724075,0.7006663777728864,2.402,6.382,30.781158959125783,44.79833293589716,24.42050810497706,70.3,0,0,6.1,23.6,65.4
JoMe05,CT,Winter wheat,2,2,1,3.471072343605384,494.6515695800781,2.1384410845438637,7.47,16,44.17,12.39,40.91,2.3,1.319587038668989,0.6733772782762963,2.676,7.368,33.51198147274041,37.749304194174464,28.738714333085127,62.6,0,0.2,6.8,30.4,65
LuHe01,NT,Winter wheat,2,2,1,3.2900153847575186,438.28111401367187,1.6645609258810679,3.24,22,0.05,9.43,70.69,18.93,1.3861005080913316,0.7263822051486106,3.41,7.718,34.63717941897211,41.67939477475534,23.683425806272545,39,0,1.5,24,35.5,86.6
NiSe02,CT,Winter wheat,2,0,0,1.0372946759473531,438.0280342610677,2.769709366639455,1.32,299,2.44,5.83,77.83,13.8,1.3955551556653392,0.708181939337205,2.586,6.256,32.41248603429809,37.57093261620663,30.016581349495272,74.1,0,0,3.2,22.7,75.6
NiSe03,CT,Winter wheat,2,1,1,5.39919107479006,423.6668186135488,2.176604611987937,1.84,202,19.64,3.13,58.96,18.08,1.490025762750875,0.7588419096175912,1.418,6.07,29.094611882618466,49.721046848594376,21.184341268787158,59.5,0,0,1.1,39.4,40.7
PaWe03,NT,Winter wheat,2,0,0,2.3504337615072726,429.79043166264296,1.6284972804571336,4.12,142,4.17,6.1,83.65,3.03,1.4575251113331462,0.7509246416298728,2.346,5.604,41.745672271030585,35.26785798901209,22.98646973995732,74.9,0.4,4.7,1,19,84.5
PaWe05,NT,Winter wheat,2,6,1,6.050170066806674,470.49031058690883,2.355296995250448,2.99,107,2.88,7.28,71.92,17.68,1.5337066668089658,0.7911652013790782,1.916,7.9239999999999995,38.54844996120952,41.7022471427493,19.74930289604118,33.5,0,8.7,0.4,57.4,51.4
RaMe03,NT,Winter wheat,2,0,0,2.677276478101313,372.1562472559126,1.5514907562440359,5.5,100,7.63,9.05,71.41,8.9,1.3480943575536715,0.6878943461217926,3.004,7.168,24.551860999508996,44.71357629743917,30.734562703051836,57.3,0.2,1.1,8.1,33.3,63.2
SeCr01,CT,Winter wheat,2,0,0,2.254050820849836,682.0498168945312,1.354582012126843,7.35,145,11.59,21.84,64.78,1.8,1.1581421295283587,0.6661460626847447,6.0120000000000005,6.436,47.719138016619304,36.13357372451128,16.147288258869413,79.1,0,0,0.3,20.6,80.6
StTe05,NT,Winter wheat,2,0,0,3.395639403450489,688.4352984569786,2.8244877568473714,1.65,143,3.7,36.04,55.39,4.35,1.134392922580047,0.6094962521201155,4.788,6.582,31.316578592058256,44.95181605941781,23.731605348523935,55,0,6.7,4.5,33.8,66.6
SyPi01,CT,Winter wheat,2,0,0,2.7437423352062704,676.3549583782778,0.884774399586721,2.36,325,0.25,17.86,78.21,3.59,1.0989021437859268,0.582802892733366,3.804,5.936,37.61921368072895,40.63916729301442,21.74161902625663,82.6,0,0,0.3,17.1,75.7
YvCh03,NT,Winter wheat,2,3,1,5.805913701931387,435.8599513897433,1.3113437284302367,10.82,94,6.05,20.26,69.08,3.34,1.3466708927155866,0.698888406739492,2.9699999999999998,7.244,35.194731882402465,40.58734314114588,24.21792497645166,69.9,0,9.6,1.9,18.6,89
